site,latDD,lonDD
b0010713,52.0667,-2.08333
b0010713,52.0667,2.75
b0010725,52.0667,-2.08333
b0010725,52.0667,2.75
b0010737,52.05,-2.06667
b0010737,52.05,2.73333
b0010749,52.05,-2.06667
b0010749,52.05,2.73333
b0010750,57.675,1.07833
b0010762,57.675,1.07833
b0010774,57.89,0.711667
b0010786,57.89,0.711667
b0010798,59.2833,1.68667
b0010805,59.2833,1.68667
b0010817,56.0833,2.13333
b0010829,56.0833,2.13333
b0010830,56,2.16667
b0010842,56,2.16667
b0010854,57.5617,1.31
b0010866,57.5617,1.31
b0010878,57.6767,1.075
b0010909,57.7933,0.886667
b0010910,57.7933,0.886667
b0010922,57.89,0.711667
b0010934,57.89,0.711667
b0010958,58.0183,0.49
b0010971,58.4267,1.34667
b0010983,58.4267,1.34667
b0010995,58.4267,1.34667
b0011009,58.43,2.10167
b0011010,58.43,-2.10167
b0011010,58.43,2.10167
b0011022,58.43,2.10167
b0011034,58.4267,2.35667
b0011046,58.4267,2.35667
b0011058,56.1767,2.64
b0011071,56.1767,2.64
b0011126,56.0867,2.89833
b0011138,56.0867,2.89833
b0011163,60.4117,1.35
b0011175,60.4117,1.35
b0011187,56.09,2.885
b0011199,56.09,2.885
b0011206,60.44,1.335
b0011218,60.41,1.34833
b0011231,60.41,1.34833
b0011243,60.41,1.34833
b0011255,56.16,2.64667
b0011267,56.16,2.64667
b0011279,56.0667,2.895
b0011292,56.4833,7.98
b0011311,56.4833,7.98
b0011323,55.4967,8.01167
b0011335,55.4967,8.01167
b0011347,56.0683,2.895
b0011359,56.0683,2.895
b0011360,59.0283,8.53333
b0011372,59.0283,8.53333
b0011384,59.0283,8.53333
b0011396,58.6583,5.27333
b0011403,58.6867,5.56333
b0011415,58.6867,5.56333
b0011439,58.8233,6.67833
b0011440,58.6617,5.26333
b0011452,58.6617,5.26333
b0011464,58.6883,5.56333
b0011476,58.6883,5.56333
b0011488,58.725,5.88167
b0011507,58.725,5.88167
b0011519,58.82,6.65
b0011520,58.925,7.505
b0011532,58.925,7.505
b0011544,60.5017,1.25333
b0011556,60.4683,1.315
b0011568,60.4683,1.315
b0011581,60.4683,1.315
b0011593,60.4683,1.315
b0011600,60.4383,1.335
b0011612,60.4383,1.335
b0011624,60.4383,1.335
b0011636,60.4917,1.27167
b0011648,60.4917,1.27167
b0011661,60.49,1.25667
b0011673,60.49,1.25667
b0011685,56.4167,2.16667
b0011697,56.4167,2.16667
b0011704,56.0833,2.13333
b0011716,56.0833,2.13333
b0011728,56.085,2.83333
b0011741,56.085,-2
b0011741,56.085,2.83333
b0011753,56.1533,2.83333
b0011765,56.1533,-2
b0011765,56.1533,2.83333
b0011777,57.1083,-1.05667
b0011777,57.1083,1.39
b0011789,57.2833,1.84167
b0011790,57.115,-1.07333
b0011790,57.115,1.40667
b0011808,57.2617,1.74167
b0011821,57.3083,1.92333
b0011833,57.31,1.91833
b0011845,57.2617,1.74167
b0011857,57.2617,1.74167
b0011869,57.1,-1.06667
b0011869,57.1,1.4
b0011870,57.1,-1.06667
b0011870,57.1,1.4
b0011882,57.31,1.91833
b0011894,59.1767,1.63333
b0011901,59.6383,0.825
b0011913,57.31,1.91833
b0011925,57.2617,1.74167
b0011937,57.2617,1.74167
b0011949,57.3167,1.90833
b0011950,55.6083,4.74333
b0011962,57.7,3.61667
b0011974,61.375,1.28333
b0011986,61.375,1.28333
