LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
-1,0,1,4.002522566,51.5752956777
-1,0,1,4.00809502988,51.5743262251
-1,0,1,4.01365060704,51.5729341671
-1,0,1,4.01865064878,51.5709891278
-1,0,1,4.02253848035,51.5690580015
-1,0,1,4.02559513021,51.5662663446
-1,0,1,4.02892871672,51.563773429
-1,0,1,4.03115080696,51.5607146429
-1,0,1,4.03364949816,51.5579366264
-1,0,1,4.03670669973,51.5554324359
-1,0,1,4.04142821326,51.5534978288
-1,0,1,4.04543149861,51.5529721947
-1,0,1,4.04781694952,51.5526587213
-1,0,1,4.05448238065,51.551551448
-1,0,1,4.05837196645,51.549322372
-1,0,1,4.06142743863,51.5468265017
-1,0,1,4.06476197071,51.5443280191
-1,0,1,4.06698364412,51.5412730585
-1,0,1,4.07003975028,51.5387725139
-1,0,1,4.07253909794,51.5357103905
-1,0,1,4.07642650952,51.5332154728
