latDMS,lonDMS,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
515842.1,0040716.2,2419Z,Hoek_van_Holland,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2420Z,Scheveningen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2421Z,IJmuiden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2422Z,Petten,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2423Z,Texel_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
513008.2,0031045.9,2424Z,Vlakte_van_de_Raan,1992/12/15,00:10:00,1992/12/31,23:50:00,00016,23.66,10,NaN,MET,NAP
513120.2,0032628.8,2425Z,Westkapelle,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2426Z,Vlissingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2427Z,Noordwijk_meetpost,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2428Z,Den_Helder,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2429Z,Den_Helder,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2430Z,Terschelling_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2431Z,Terschelling_Noordzee,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2432Z,Wierumergronden,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2433Z,Wierumergronden,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2434Z,Huibertgat,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2435Z,Huibertgat,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2436Z,Harlingen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2437Z,Harlingen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2438Z,Delfzijl,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
