"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","End date","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
925482,"CTD or STD cast","CTD/STD cast","research vessel",56.16083,-99,-5.787,-999,"Fixed point",2008/10/10,-99,-99,145,115.9,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729597,"CTD or STD cast","CTD/STD cast","research vessel",53.73617,-99,-5.63233,-999,"Fixed point",2006/03/20,-99,-99,94,91.16,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900071,"CTD or STD cast","CTD/STD cast","research vessel",55.41417,-99,-6.7455,-999,"Fixed point",2007/03/24,-99,-99,80,63.41,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636095,"CTD or STD cast","CTD/STD cast","research vessel",53.6653,-99,-5.961,-999,"Fixed point",2003/03/12,-99,-99,40,38.65,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
650052,"CTD or STD cast","CTD/STD cast","research vessel",56.13017,-99,-6.32817,-999,"Fixed point",2004/02/19,-99,-99,71,67.37,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621096,"CTD or STD cast","CTD/STD cast","research vessel",53.584,-99,-5.7722,-999,"Fixed point",2002/11/22,-99,-99,68,66.39,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631607,"CTD or STD cast","CTD/STD cast","research vessel",55.4253,-99,-6.741,-999,"Fixed point",2003/11/19,-99,-99,68,65.39,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572199,"CTD or STD cast","CTD/STD cast","research vessel",54.7203,-99,-5.6772,-999,"Fixed point",2001/03/09,-99,-99,16,13.87,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
717406,"CTD or STD cast","CTD/STD cast","research vessel",56.366,-99,-6.07917,-999,"Fixed point",2005/06/14,-99,-99,60,55.48,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925457,"CTD or STD cast","CTD/STD cast","research vessel",56.15883,-99,-5.94,-999,"Fixed point",2008/10/09,-99,-99,135,113.92,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621084,"CTD or STD cast","CTD/STD cast","research vessel",53.7497,-99,-5.5762,-999,"Fixed point",2002/11/22,-99,-99,101,97.1,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616696,"CTD or STD cast","CTD/STD cast","research vessel",53.7167,-99,-5.9905,-999,"Fixed point",2002/03/08,-99,-99,37,33.69,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925469,"CTD or STD cast","CTD/STD cast","research vessel",56.159,-99,-5.9675,-999,"Fixed point",2008/10/09,-99,-99,140,116.89,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563589,"CTD or STD cast","CTD/STD cast","research vessel",56.0132,-99,-7.1698,-999,"Fixed point",2000/11/27,-99,-99,114,106.99,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720186,"CTD or STD cast","CTD/STD cast","research vessel",54.51533,-99,-5.21,-999,"Fixed point",2005/03/19,-99,-99,136,126.81,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033758,"CTD or STD cast","CTD/STD cast","research vessel",55.85733,-99,-5.038,-999,"Fixed point",2009/11/03,-99,-99,53,45.58,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729561,"CTD or STD cast","CTD/STD cast","research vessel",54.2565,-99,-5.37333,-999,"Fixed point",2006/03/20,-99,-99,50,47.56,4.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631724,"CTD or STD cast","CTD/STD cast","research vessel",53.756,-99,-5.575,-999,"Fixed point",2003/11/21,-99,-99,100,96.11,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563590,"CTD or STD cast","CTD/STD cast","research vessel",56.224,-99,-7.2187,-999,"Fixed point",2000/11/27,-99,-99,92,86.19,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713755,"CTD or STD cast","CTD/STD cast","research vessel",55.43817,-99,-4.85683,-999,"Fixed point",2005/11/28,-99,-99,67,61.43,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709768,"CTD or STD cast","CTD/STD cast","research vessel",54.26867,-99,-5.35967,-999,"Fixed point",2005/03/21,-99,-99,51,47.56,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723541,"CTD or STD cast","CTD/STD cast","research vessel",56.253,-99,-5.92367,-999,"Fixed point",2006/07/09,-99,-99,88,47.56,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033746,"CTD or STD cast","CTD/STD cast","research vessel",55.94067,-99,-5.192,-999,"Fixed point",2009/11/03,-99,-99,38,31.71,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729690,"CTD or STD cast","CTD/STD cast","research vessel",55.2825,-99,-5.1935,-999,"Fixed point",2006/03/24,-99,-99,51,48.55,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713614,"CTD or STD cast","CTD/STD cast","research vessel",54.54417,-99,-5.191,-999,"Fixed point",2005/11/24,-99,-99,145,136.72,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657247,"CTD or STD cast","CTD/STD cast","research vessel",55.99933,-99,-7.22783,-999,"Fixed point",2004/11/27,-99,-99,114,101.05,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
636058,"CTD or STD cast","CTD/STD cast","research vessel",54.2518,-99,-5.3717,-999,"Fixed point",2003/03/11,-99,-99,53,50.54,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
717418,"CTD or STD cast","CTD/STD cast","research vessel",56.35567,-99,-6.2155,-999,"Fixed point",2005/06/14,-99,-99,57,52.51,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631712,"CTD or STD cast","CTD/STD cast","research vessel",54.0337,-99,-5.1888,-999,"Fixed point",2003/11/21,-99,-99,79,76.3,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713767,"CTD or STD cast","CTD/STD cast","research vessel",55.28817,-99,-5.1895,-999,"Fixed point",2005/11/28,-99,-99,52,45.58,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033802,"CTD or STD cast","CTD/STD cast","research vessel",55.9715,-99,-4.76883,-999,"Fixed point",2009/11/03,-99,-99,72,67.37,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709873,"CTD or STD cast","CTD/STD cast","research vessel",55.98283,-99,-7.33467,-999,"Fixed point",2005/03/25,-99,-99,111,105.01,3.96,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028431,"CTD or STD cast","CTD/STD cast","research vessel",55.99233,-99,-7.24333,-999,"Fixed point",2009/11/14,-99,-99,115,106,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657235,"CTD or STD cast","CTD/STD cast","research vessel",55.931,-99,-6.699,-999,"Fixed point",2004/11/27,-99,-99,67,56.47,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
713626,"CTD or STD cast","CTD/STD cast","research vessel",54.3365,-99,-4.95267,-999,"Fixed point",2005/11/24,-99,-99,108,106.01,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033734,"CTD or STD cast","CTD/STD cast","research vessel",55.9525,-99,-5.19417,-999,"Fixed point",2009/11/03,-99,-99,28,19.82,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925390,"CTD or STD cast","CTD/STD cast","research vessel",56.15817,-99,-5.78467,-999,"Fixed point",2008/10/09,-99,-99,115,100.06,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900083,"CTD or STD cast","CTD/STD cast","research vessel",55.22833,-99,-5.207,-999,"Fixed point",2007/03/24,-99,-99,51,44.59,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636083,"CTD or STD cast","CTD/STD cast","research vessel",53.7813,-99,-5.5517,-999,"Fixed point",2003/03/12,-99,-99,105,97.1,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729585,"CTD or STD cast","CTD/STD cast","research vessel",54.04267,-99,-5.17667,-999,"Fixed point",2006/03/20,-99,-99,84,81.25,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729689,"CTD or STD cast","CTD/STD cast","research vessel",55.45983,-99,-4.814,-999,"Fixed point",2006/03/24,-99,-99,63,60.44,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658816,"CTD or STD cast","CTD/STD cast","research vessel",54.7225,-99,-5.69633,-999,"Fixed point",2004/03/12,-99,-99,18,15.86,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631748,"CTD or STD cast","CTD/STD cast","research vessel",54.2967,-99,-4.9835,-999,"Fixed point",2003/11/23,-99,-99,117,110.97,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925494,"CTD or STD cast","CTD/STD cast","research vessel",56.1645,-99,-5.7955,-999,"Fixed point",2008/10/10,-99,-99,186,125.8,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028443,"CTD or STD cast","CTD/STD cast","research vessel",56.20383,-99,-7.3135,-999,"Fixed point",2009/11/14,-99,-99,96,87.18,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709885,"CTD or STD cast","CTD/STD cast","research vessel",56.18183,-99,-7.3985,-999,"Fixed point",2005/03/25,-99,-99,105,95.1,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713638,"CTD or STD cast","CTD/STD cast","research vessel",54.02383,-99,-5.20967,-999,"Fixed point",2005/11/24,-99,-99,77,63.42,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709781,"CTD or STD cast","CTD/STD cast","research vessel",54.01083,-99,-5.2635,-999,"Fixed point",2005/03/21,-99,-99,78,71.34,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033722,"CTD or STD cast","CTD/STD cast","research vessel",55.93133,-99,-5.18517,-999,"Fixed point",2009/11/03,-99,-99,59,52.51,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657223,"CTD or STD cast","CTD/STD cast","research vessel",54.51433,-99,-5.22683,-999,"Fixed point",2004/11/26,-99,-99,139,131.76,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
717431,"CTD or STD cast","CTD/STD cast","research vessel",56.353,-99,-6.1975,-999,"Fixed point",2005/06/14,-99,-99,74,67.37,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636071,"CTD or STD cast","CTD/STD cast","research vessel",54.0282,-99,-5.739,-999,"Fixed point",2003/03/11,-99,-99,40,38.65,5.95,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900095,"CTD or STD cast","CTD/STD cast","research vessel",55.414,-99,-4.9075,-999,"Fixed point",2007/03/24,-99,-99,72,64.4,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658804,"CTD or STD cast","CTD/STD cast","research vessel",55.28483,-99,-5.18717,-999,"Fixed point",2004/03/12,-99,-99,50,47.56,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631736,"CTD or STD cast","CTD/STD cast","research vessel",53.584,-99,-5.7563,-999,"Fixed point",2003/11/21,-99,-99,74,71.35,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729573,"CTD or STD cast","CTD/STD cast","research vessel",54.337,-99,-4.96183,-999,"Fixed point",2006/03/20,-99,-99,113,109.98,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
