latdd,longdd,station,code
34.350000,134.050000,TAKAMATSU II,644042
34.000000,134.583333,KOMATSUSHIMA,644051
33.266667,134.166667,MUROTOMISAKI,644061
33.950000,130.966667,MOZI,645004
33.266667,131.683333,OITA II,645009
32.433333,131.666667,HOSOJIMA,645011
31.566667,131.416667,ABURATSU,645021
30.733333,131.000000,NISINOOMOTE,645031
31.016667,130.683333,ODOMARI,645033
31.600000,130.566667,KAGOSHIMA I,645040
31.266667,130.300000,MAKURAZAKI I,645042
32.016667,130.200000,AKUNE,645045
32.616667,130.450000,MISUMI,645051
32.966667,130.216667,OURA,645059
32.600000,130.200000,KUCHINOTSU,645062
32.733333,129.866667,NAGASAKI,645064
32.700000,128.850000,FUKUE,645066
33.166667,129.716667,SASEBO I,645071
33.150000,129.733333,SASEBO II,645072
33.466667,129.850000,KARIYA,645075
34.200000,129.300000,IZUHARA,645081
34.200000,129.300000,IZUHARA II,645082
33.600000,130.400000,HAKATA,645091
28.383333,129.500000,NASE I,646001
28.383333,129.500000,NASE II,646002
28.500000,129.500000,NASE III,646003
29.833333,129.850000,NAKANO SIMA,646011
26.183333,127.833333,OKINAWA,646021
26.216667,127.666667,NAHA,646024
24.333333,124.166667,ISHIGAKI,646041
24.333333,124.150000,ISHIGAKI II,646042
33.916667,130.916667,SHIMONOSEKI III,647010
33.966667,130.950000,SHIMONOSEKI I,647011
33.966667,130.950000,SHIMONOSEKI II,647012
34.433333,131.416667,HAGI,647015
34.900000,132.066667,TONOURA,647021
34.900000,132.066667,HAMADA II,647023
35.550000,133.250000,SAKAI,647041
36.200000,133.333333,SAIGO,647043
35.583333,134.316667,TAJIRI,647047
35.533333,135.183333,MIYAZU,647051
35.483333,135.400000,MAIZURU I,647061
35.466667,135.383333,MAIZURU II,647062
35.450000,135.316667,MAIZURU III,647063
36.250000,136.150000,MIKUNI,647065
36.766667,137.216667,TOYAMA,647068
37.400000,136.900000,WAJIMA,647071
37.350000,138.516667,KASHIWAZAKI,647081
37.816667,138.283333,OGI,647086
38.466667,139.250000,AWA SIMA,647090
38.566667,139.550000,NEZUGASEKI,647091
39.933333,139.700000,OGA,647096
40.583333,139.916667,IWASAKI,647101
41.250000,141.150000,OMINATO,647111
40.900000,140.866667,ASAMUSHI,647121
27.083333,142.183333,CHICHIJIMA,648001
16.616667,120.300000,SAN FERNANDO: LA UNION,660001
12.333333,121.083333,SAN JOSE,660002
18.383333,122.100000,PORT IRENE,660003
14.583333,120.966667,MANILA: S. HARBOR,660011
13.150000,123.750000,LEGASPI: ALBAY,660021
11.250000,125.000000,TACLOBAN: LEYTE,660071
10.300000,123.916667,CEBU,660101
9.750000,118.733333,PUERTO PRINCESA: PALAWAN,660111
7.083333,125.633333,DAVAO: DAVAO GULF,660121
6.066667,121.000000,JOLO: SULU,660141
9.783333,125.500000,SURIGAO,660151
4.400000,113.966667,MIRI,663001
3.266667,113.066667,BINTULU,663011
5.983333,116.066667,KOTA KINABALU,665031
5.816667,118.083333,SANDAKAN,665045
4.233333,117.883333,TAWAU,665061
-9.483333,147.133333,PORT MORESBY,670011
-4.200000,152.183333,RABAUL,670021
-28.866667,153.583333,BALLINA,680081
-29.116667,153.433333,EVANS HEAD,680093
-30.316667,153.083333,COFF'S HARBOUR I,680111
-32.916667,151.800000,NEWCASTLE I,680131
-32.916667,151.800000,NEWCASTLE II,680132
-32.916667,151.800000,NEWCASTLE III,680133
-33.850000,151.233333,SYDNEY: FORT DENISON,680141
-33.833333,151.283333,CAMP COVE,680151
-38.000000,140.666667,PORT MACDONNELL I,680241
-37.500000,140.000000,BEACHPORT,680251
-36.833333,139.850000,KINGSTON,680271
-35.033333,138.516667,BRIGHTON,680291
-35.516667,138.166667,SECOND VALLEY,680321
-35.083333,137.750000,EDITHBURG,680341
-35.800000,137.766667,AMERICAN RIVER,680361
-35.250000,137.766667,STENHOUSE BAY,680371
-33.933333,137.633333,PORT WALLAROO,680381
-32.550000,137.783333,PORT AUGUSTA,680401
